
Idade; altura; peso; IMC; classeIMC
50;1.73;79.28;26.489358147616024;Sobrepeso
50;1.72;74.18;25.074364521362902;Sobrepeso
50;1.74;84.38;27.870260272162767;Sobrepeso
50;1.8;135.0;41.666666666666664;Obesidade Classe 3
50;1.62;46.0;17.527815881725342;Abaixo do peso
50;1.63;72.5;27.287440249915317;Sobrepeso
50;1.5;36.5;16.22222222222222;Abaixo do peso
50;1.84;106.9;31.574905482041586;Obesidade Classe 1
50;1.66;110.5;40.10015967484396;Obesidade Classe 3
49;1.73;79.02;26.40248588325704;Sobrepeso
49;1.72;74.02;25.020281233098974;Sobrepeso
49;1.74;84.02;27.751354207953494;Sobrepeso
49;1.6;75.0;29.296874999999993;Sobrepeso
49;1.6;44.0;17.187499999999996;Abaixo do peso
49;1.64;77.9;28.96341463414635;Sobrepeso
49;1.51;36.6;16.051927547037412;Abaixo do peso
49;1.63;103.2;38.842259776431185;Obesidade Classe 2
48;1.74;79.01;26.096578147707756;Sobrepeso
48;1.73;74.11;24.761936583247017;Peso normal
48;1.75;83.91;27.399183673469388;Sobrepeso
48;1.63;100.0;37.63784862057285;Obesidade Classe 2
48;1.58;42.0;16.82422688671687;Abaixo do peso
48;1.68;79.5;28.167517006802726;Sobrepeso
48;1.51;36.7;16.095785272575764;Abaixo do peso
48;1.69;110.9;38.82917264801653;Obesidade Classe 2
47;1.74;79.0;26.09327520147972;Sobrepeso
47;1.73;74.2;24.792007751678973;Peso normal
47;1.75;83.8;27.363265306122447;Sobrepeso
47;1.55;40.0;16.649323621227886;Abaixo do peso
47;1.65;75.3;27.658402203856753;Sobrepeso
47;1.52;36.8;15.92797783933518;Abaixo do peso
47;1.82;99.7;30.099021857263615;Obesidade Classe 1
47;1.75;112.2;36.63673469387755;Obesidade Classe 2
46;1.74;78.99;26.08997225525168;Sobrepeso
46;1.73;74.29;24.82207892011093;Peso normal
46;1.75;83.69;27.32734693877551;Sobrepeso
46;1.86;70.0;20.23355301190889;Peso normal
46;1.73;77.0;25.727555214006482;Sobrepeso
46;1.52;36.9;15.971260387811634;Abaixo do peso
46;1.74;111.2;36.728762055753734;Obesidade Classe 2
45;1.74;78.98;26.086669309023648;Sobrepeso
45;1.73;74.38;24.85215008854288;Peso normal
45;1.75;83.58;27.291428571428572;Sobrepeso
45;1.68;140.0;49.60317460317461;Obesidade Classe 3
45;1.84;68.0;20.085066162570886;Peso normal
45;1.72;78.3;26.467009194159008;Sobrepeso
45;1.53;37.0;15.805886624802426;Abaixo do peso
45;1.78;90.7;28.626436056053528;Sobrepeso
45;1.8;116.0;35.80246913580247;Obesidade Classe 2
44;1.74;78.62;25.967763244814375;Sobrepeso
44;1.73;74.12;24.7652778241839;Peso normal
44;1.75;83.12;27.14122448979592;Sobrepeso
44;1.82;66.0;19.925129815239703;Peso normal
44;1.71;74.4;25.44372627475121;Sobrepeso
44;1.53;37.2;15.89132384980136;Abaixo do peso
44;1.8;96.1;29.66049382716049;Sobrepeso
44;1.79;116.4;36.328454168097124;Obesidade Classe 2
43;1.74;78.61;25.96446029858634;Sobrepeso
43;1.73;74.21;24.795348992615853;Peso normal
43;1.75;83.01;27.10530612244898;Sobrepeso
43;1.8;64.0;19.753086419753085;Peso normal
43;1.69;72.2;25.27922691782501;Sobrepeso
43;1.54;37.4;15.769944341372913;Abaixo do peso
43;1.78;114.5;36.13811387451079;Obesidade Classe 2
42;1.74;78.6;25.961157352358303;Sobrepeso
42;1.73;74.3;24.825420161047813;Peso normal
42;1.75;82.9;27.069387755102042;Sobrepeso
42;1.65;90.0;33.057851239669425;Obesidade Classe 1
42;1.78;62.0;19.568236333796236;Peso normal
42;1.75;76.5;24.979591836734695;Peso normal
42;1.54;37.5;15.812109967954123;Abaixo do peso
42;1.79;93.8;29.274991417246653;Sobrepeso
42;1.75;112.0;36.57142857142857;Obesidade Classe 2
41;1.74;78.59;25.95785440613027;Sobrepeso
41;1.73;74.39;24.85549132947977;Peso normal
41;1.75;82.79;27.033469387755105;Sobrepeso
41;1.76;60.0;19.369834710743802;Peso normal
41;1.72;78.6;26.56841535965387;Sobrepeso
41;1.55;37.7;15.691987513007284;Abaixo do peso
41;1.73;110.1;36.78706271509238;Obesidade Classe 2
40;1.74;78.58;25.95455145990223;Sobrepeso
40;1.73;74.48;24.885562497911724;Peso normal
40;1.75;82.68;26.997551020408167;Sobrepeso
40;1.729;74.48;24.914356898162566;Peso normal
40;1.7;105.0;36.33217993079585;Obesidade Classe 2
40;1.74;58.0;19.157088122605362;Peso normal
40;1.7;75.0;25.95155709342561;Sobrepeso
40;1.56;38.0;15.61472715318869;Abaixo do peso
40;1.68;108.6;38.47789115646259;Obesidade Classe 2
39;1.74;77.42;25.571409697450125;Sobrepeso
39;1.73;73.42;24.531390958602024;Peso normal
39;1.75;81.42;26.58612244897959;Sobrepeso
39;1.729;73.42;24.559775556701066;Peso normal
39;1.72;56.0;18.92915089237426;Peso normal
39;1.66;71.7;26.019741617070697;Sobrepeso
39;1.56;38.3;15.73800131492439;Abaixo do peso
39;1.78;90.2;28.468627698522912;Sobrepeso
39;1.74;111.7;36.8939093671555;Obesidade Classe 2
38;1.74;77.41;25.56810675122209;Sobrepeso
38;1.73;73.51;24.56146212703398;Peso normal
38;1.75;81.31;26.550204081632653;Sobrepeso
38;1.729;73.51;24.589881519655346;Peso normal
38;1.68;80.0;28.344671201814062;Sobrepeso
38;1.7;54.0;18.68512110726644;Peso normal
38;1.71;74.8;25.580520502034815;Sobrepeso
38;1.57;38.7;15.70043409468944;Abaixo do peso
38;1.77;88.3;28.18474895464266;Sobrepeso
38;1.78;118.9;37.52682742078021;Obesidade Classe 2
37;1.74;77.4;25.564803804994057;Sobrepeso
37;1.73;73.6;24.591533295465933;Peso normal
37;1.75;81.2;26.514285714285716;Sobrepeso
37;1.729;73.6;24.61998748260962;Peso normal
37;1.7298;80.4;26.869789441512232;Sobrepeso
37;1.68;52.0;18.42403628117914;Abaixo do peso
37;1.67;71.1;25.493922334970776;Sobrepeso
37;1.58;39.1;15.662554077872134;Abaixo do peso
37;1.76;113.3;36.57670454545455;Obesidade Classe 2
36;1.74;77.39;25.56150085876602;Sobrepeso
36;1.73;73.69;24.62160446389789;Peso normal
36;1.75;81.09;26.478367346938775;Sobrepeso
36;1.729;73.69;24.6500934455639;Peso normal
36;1.7298;80.39;26.866447427900102;Sobrepeso
36;1.66;50.0;18.144868631151112;Abaixo do peso
36;1.69;62.0;21.707923392038097;Peso normal
36;1.68;68.4;24.234693877551027;Peso normal
36;1.59;39.6;15.663937344250622;Abaixo do peso
36;1.75;112.2;36.63673469387755;Obesidade Classe 2
35;1.74;77.38;25.55819791253798;Sobrepeso
35;1.73;73.78;24.651675632329848;Peso normal
35;1.75;80.98;26.442448979591838;Sobrepeso
35;1.729;73.78;24.68019940851818;Peso normal
35;1.7298;80.38;26.863105414287972;Sobrepeso
35;1.7;85.0;29.411764705882355;Sobrepeso
35;1.64;48.0;17.846519928613922;Abaixo do peso
35;1.71;65.0;22.229061933586404;Peso normal
35;1.72;67.0;22.647376960519203;Peso normal
35;1.65;65.2;23.948576675849406;Peso normal
35;1.6;40.1;15.664062499999998;Abaixo do peso
35;1.75;85.6;27.951020408163263;Sobrepeso
35;1.7;98.5;34.083044982698965;Obesidade Classe 1
34;1.74;76.22;25.175056150085876;Sobrepeso
34;1.73;72.72;24.297504093020148;Peso normal
34;1.75;79.72;26.031020408163265;Sobrepeso
34;1.729;72.72;24.32561806705668;Peso normal
34;1.7298;79.22;26.47543183528108;Sobrepeso
34;1.62;46.0;17.527815881725342;Abaixo do peso
34;1.73;67.0;22.386314277122523;Peso normal
34;1.72;66.0;22.30935640886966;Peso normal
34;1.71;66.0;22.571047501795427;Peso normal
34;1.7;65.0;22.49134948096886;Peso normal
34;1.73;70.9;23.689398242507266;Peso normal
34;1.61;40.6;15.66297596543343;Abaixo do peso
34;1.77;86.9;27.737878642791024;Sobrepeso
34;1.81;120.9;36.90363542016422;Obesidade Classe 2
33;1.74;76.21;25.17175320385784;Sobrepeso
33;1.73;72.81;24.327575261452104;Peso normal
33;1.75;79.61;25.995102040816327;Sobrepeso
33;1.729;72.81;24.35572403001096;Peso normal
33;1.7298;79.21;26.47208982166895;Sobrepeso
33;1.6;44.0;17.187499999999996;Abaixo do peso
33;1.69;64.0;22.40817898532965;Peso normal
33;1.73;66.0;22.052190183434128;Peso normal
33;1.7;65.0;22.49134948096886;Peso normal
33;1.77;73.6;23.49261068020045;Peso normal
33;1.62;41.2;15.698826398414873;Abaixo do peso
33;1.76;84.3;27.21461776859504;Sobrepeso
33;1.8;118.1;36.45061728395061;Obesidade Classe 2
32;1.74;76.2;25.168450257629807;Sobrepeso
32;1.73;72.9;24.35764642988406;Peso normal
32;1.75;79.5;25.959183673469386;Sobrepeso
32;1.729;72.9;24.38582999296524;Peso normal
32;1.6;120.0;46.87499999999999;Obesidade Classe 3
32;1.58;42.0;16.82422688671687;Abaixo do peso
32;1.65;60.0;22.03856749311295;Peso normal
32;1.68;65.0;23.030045351473927;Peso normal
32;1.7;65.0;22.49134948096886;Peso normal
32;1.68;64.0;22.67573696145125;Peso normal
32;1.65;61.0;22.4058769513315;Peso normal
32;1.69;67.8;23.738664612583595;Peso normal
32;1.64;42.2;15.690065437239742;Abaixo do peso
32;1.72;81.9;27.683883180097354;Sobrepeso
32;1.77;115.7;36.930639343739024;Obesidade Classe 2
31;1.74;76.19;25.165147311401768;Sobrepeso
31;1.73;72.99;24.387717598316012;Peso normal
31;1.75;79.39;25.92326530612245;Sobrepeso
31;1.729;72.99;24.415935955919515;Peso normal
31;1.7298;76.07;25.422697547460636;Sobrepeso
31;1.55;40.0;16.649323621227886;Abaixo do peso
31;1.68;62.0;21.9671201814059;Peso normal
31;1.74;67.0;22.12973972783723;Peso normal
31;1.71;66.0;22.571047501795427;Peso normal
31;1.68;63.0;22.321428571428577;Peso normal
31;1.63;60.0;22.582709172343712;Peso normal
31;1.7;74.1;25.640138408304498;Sobrepeso
31;1.65;43.0;15.794306703397615;Abaixo do peso
31;1.74;82.5;27.24930638129211;Sobrepeso
31;1.85;132.0;38.568298027757486;Obesidade Classe 2
30;1.74;76.18;25.161844365173735;Sobrepeso
30;1.73;73.08;24.417788766747968;Peso normal
30;1.75;79.28;25.88734693877551;Sobrepeso
30;1.729;73.08;24.446041918873792;Peso normal
30;1.7298;76.06;25.41935553384851;Sobrepeso
30;1.68;95.0;33.6592970521542;Obesidade Classe 1
30;1.7;155.0;53.63321799307959;Obesidade Classe 3
30;1.8;175.0;54.01234567901234;Obesidade Classe 3
30;2.07;270.0;63.01197227473221;Obesidade Classe 3
30;1.86;70.0;20.23355301190889;Peso normal
30;1.7;66.0;22.837370242214536;Peso normal
30;1.72;66.0;22.30935640886966;Peso normal
30;1.69;64.0;22.40817898532965;Peso normal
30;1.65;61.0;22.4058769513315;Peso normal
30;1.865;93.4;26.85277691926198;Sobrepeso
30;1.87;92.3;26.394806828905597;Sobrepeso
30;1.68;68.7;24.340986394557827;Peso normal
30;1.67;44.5;15.956111728638533;Abaixo do peso
30;1.74;79.9;26.39054036200291;Sobrepeso
30;1.72;106.7;36.06679286100595;Obesidade Classe 2
29;1.79;74.72;23.320121094847227;Peso normal
29;1.78;71.72;22.63603080419139;Peso normal
29;1.8;77.72;23.98765432098765;Peso normal
29;1.779;71.72;22.661485995662975;Peso normal
29;1.7798;74.6;23.55029884824138;Peso normal
29;1.65;150.0;55.096418732782375;Obesidade Classe 3
29;1.75;170.0;55.51020408163265;Obesidade Classe 3
29;2.05;260.0;61.86793575252826;Obesidade Classe 3
29;1.84;68.0;20.085066162570886;Peso normal
29;1.63;58.0;21.829952199932254;Peso normal
29;1.7;64.0;22.145328719723185;Peso normal
29;1.68;63.0;22.321428571428577;Peso normal
29;1.66;62.0;22.49963710262738;Peso normal
29;1.847;90.9;26.645881511129275;Sobrepeso
29;1.8530000000000002;89.7;26.124116053982846;Sobrepeso
29;1.72;69.3;23.424824229313145;Peso normal
29;1.66;45.7;16.584409928872116;Abaixo do peso
29;1.75;81.4;26.579591836734696;Sobrepeso
29;1.76;113.8;36.738119834710744;Obesidade Classe 2
28;1.78;74.71;23.579724782224464;Peso normal
28;1.77;71.81;22.921255067190142;Peso normal
28;1.79;77.61;24.222090446615276;Peso normal
28;1.769;71.81;22.94717675589362;Peso normal
28;1.7698;74.59;23.813993218627807;Peso normal
28;1.75;75.0;24.489795918367346;Peso normal
28;1.67;145.0;51.991824733766;Obesidade Classe 3
28;1.72;165.0;55.77339102217415;Obesidade Classe 3
28;2.02;250.0;61.26850308793256;Obesidade Classe 3
28;1.82;66.0;19.925129815239703;Peso normal
28;1.78;75.0;23.671253629592222;Peso normal
28;1.76;69.0;22.275309917355372;Peso normal
28;1.66;62.0;22.49963710262738;Peso normal
28;1.67;63.0;22.589551436050055;Peso normal
28;1.63;60.0;22.582709172343712;Peso normal
28;1.8319999999999999;88.3;26.309328578783777;Sobrepeso
28;1.838;87.2;25.8122267071295;Sobrepeso
28;1.78;72.1;22.755965155914655;Peso normal
28;1.68;46.2;16.369047619047624;Abaixo do peso
28;1.73;78.6;26.26215376390791;Sobrepeso
28;1.82;126.8;38.28040091776355;Obesidade Classe 2
27;1.77;74.7;23.843723068083882;Peso normal
27;1.76;71.9;23.211518595041326;Peso normal
27;1.78;77.5;24.460295417245298;Peso normal
27;1.759;71.9;23.237917817923968;Peso normal
27;1.7598;74.58;24.082177456625246;Peso normal
27;1.69;140.0;49.017891530408605;Obesidade Classe 3
27;1.77;160.0;51.07089278304446;Obesidade Classe 3
27;2.0;240.0;60.0;Obesidade Classe 3
27;1.8;64.0;19.753086419753085;Peso normal
27;1.67;63.0;22.589551436050055;Peso normal
27;1.75;68.0;22.20408163265306;Peso normal
27;1.66;62.0;22.49963710262738;Peso normal
27;1.62;59.0;22.481329065691202;Peso normal
27;1.82;85.8;25.902668759811615;Sobrepeso
27;1.825;84.6;25.40063801838994;Sobrepeso
27;1.79;76.8;23.969289348022844;Peso normal
27;1.69;47.5;16.63107034067435;Abaixo do peso
27;1.71;76.3;26.093498854348347;Sobrepeso
27;1.84;131.0;38.693289224952736;Obesidade Classe 2
26;1.76;74.69;24.11221590909091;Peso normal
26;1.75;71.99;23.506938775510203;Peso normal
26;1.77;77.39;24.702352452998817;Peso normal
26;1.749;71.99;23.533826893158906;Peso normal
26;1.7498;74.57;24.354954283689928;Peso normal
26;1.64;135.0;50.19333729922666;Obesidade Classe 3
26;1.79;155.0;48.37551886645236;Obesidade Classe 3
26;1.97;230.0;59.26460357133654;Obesidade Classe 3
26;1.78;62.0;19.568236333796236;Peso normal
26;1.74;68.0;22.460034350640772;Peso normal
26;1.69;63.0;22.058051188683873;Peso normal
26;1.65;61.0;22.4058769513315;Peso normal
26;1.6;58.0;22.656249999999996;Peso normal
26;1.794;83.2;25.851065548608084;Sobrepeso
26;1.7990000000000002;82.1;25.367684659595636;Sobrepeso
26;1.74;71.9;23.74818337957458;Peso normal
26;1.71;48.9;16.723094285421155;Abaixo do peso
26;1.76;80.2;25.891012396694215;Sobrepeso
26;1.86;134.1;38.76170655567117;Obesidade Classe 2
25;1.75;74.68;24.38530612244898;Peso normal
25;1.74;72.08;23.807636411679216;Peso normal
25;1.76;77.28;24.948347107438018;Peso normal
25;1.739;72.08;23.835025119695935;Peso normal
25;1.7398;74.56;24.63242937823691;Peso normal
25;1.7;130.0;44.98269896193772;Obesidade Classe 3
25;1.74;150.0;49.544193420531116;Obesidade Classe 3
25;1.95;220.0;57.85667324128863;Obesidade Classe 3
25;1.76;60.0;19.369834710743802;Peso normal
25;1.72;68.0;22.985397512168742;Peso normal
25;1.62;60.0;22.86236854138088;Peso normal
25;1.6;58.0;22.656249999999996;Peso normal
25;1.77;78.0;24.897060231734173;Peso normal
25;1.77;77.0;24.577867151840145;Peso normal
25;1.76;76.0;24.535123966942148;Peso normal
25;1.76;75.0;24.212293388429753;Peso normal
25;1.786;80.7;25.29942353680298;Sobrepeso
25;1.781;79.5;25.0633598584598;Sobrepeso
25;1.75;70.5;23.020408163265305;Peso normal
25;1.73;49.7;16.605967456313277;Abaixo do peso
25;1.71;77.7;26.57227864984098;Sobrepeso
25;1.75;100.2;32.71836734693878;Obesidade Classe 1
24;1.77;71.82;22.92444699798908;Peso normal
24;1.76;69.32;22.378615702479337;Peso normal
24;1.78;74.32;23.456634263350583;Peso normal
24;1.759;69.32;22.404067637531146;Peso normal
24;1.781;74.32;23.430300687807954;Peso normal
24;1.62;125.0;47.62993446121017;Obesidade Classe 3
24;1.76;145.0;46.810433884297524;Obesidade Classe 3
24;1.92;210.0;56.966145833333336;Obesidade Classe 3
24;1.74;58.0;19.157088122605362;Peso normal
24;1.75;70.0;22.857142857142858;Peso normal
24;1.76;76.0;24.535123966942148;Peso normal
24;1.76;75.0;24.212293388429753;Peso normal
24;1.75;74.0;24.163265306122447;Peso normal
24;1.75;73.0;23.836734693877553;Peso normal
24;1.7719999999999998;78.1;24.872738205035443;Peso normal
24;1.767;77.0;24.66139425274214;Peso normal
24;1.76;68.0;21.952479338842977;Peso normal
24;1.66;50.5;18.32631731746262;Abaixo do peso
24;1.72;74.8;25.283937263385617;Sobrepeso
24;1.83;128.7;38.43052942757323;Obesidade Classe 2
23;1.76;71.81;23.182463842975206;Peso normal
23;1.75;69.41;22.664489795918367;Peso normal
23;1.77;74.21;23.687318458935806;Peso normal
23;1.749;69.41;22.69041428884789;Peso normal
23;1.771;74.21;23.660575792753637;Peso normal
23;1.68;120.0;42.51700680272109;Obesidade Classe 3
23;1.71;140.0;47.877979549263024;Obesidade Classe 3
23;1.9;200.0;55.4016620498615;Obesidade Classe 3
23;1.72;56.0;18.92915089237426;Peso normal
23;1.75;74.0;24.163265306122447;Peso normal
23;1.75;73.0;23.836734693877553;Peso normal
23;1.74;72.0;23.781212841854934;Peso normal
23;1.74;71.0;23.450918219051392;Peso normal
23;1.7530000000000001;75.6;24.601294691945252;Peso normal
23;1.746;74.4;24.40531721007861;Peso normal
23;1.68;52.1;18.459467120181408;Abaixo do peso
23;1.7;75.9;26.262975778546718;Sobrepeso
22;1.75;71.8;23.444897959183674;Peso normal
22;1.74;69.5;22.955476284846082;Peso normal
22;1.76;74.1;23.921745867768593;Peso normal
22;1.739;69.5;22.98188465342491;Peso normal
22;1.761;74.1;23.894585216120237;Peso normal
22;1.762;71.901;23.15917702641591;Peso normal
22;1.738;71.699;23.736329074197425;Peso normal
22;1.63;95.0;35.75595618954421;Obesidade Classe 2
22;1.66;115.0;41.73319785164756;Obesidade Classe 3
22;1.69;135.0;47.26725254717973;Obesidade Classe 3
22;1.87;190.0;54.333838542709245;Obesidade Classe 3
22;1.7;54.0;18.68512110726644;Peso normal
22;1.74;72.0;23.781212841854934;Peso normal
22;1.76;73.0;23.56663223140496;Peso normal
22;1.74;71.0;23.450918219051392;Peso normal
22;1.73;70.0;23.38868655818771;Peso normal
22;1.72;69.0;23.323418063818284;Peso normal
22;1.709;73.0;24.99417088001052;Peso normal
22;1.702;71.9;24.82045730398053;Peso normal
22;1.8;80.2;24.753086419753085;Peso normal
22;1.7;54.8;18.961937716262977;Peso normal
22;1.68;72.0;25.510204081632658;Sobrepeso
22;1.79;120.3;37.54564464280141;Obesidade Classe 2
21;1.74;71.79;23.71185097106619;Peso normal
21;1.73;69.59;23.25169567977547;Peso normal
21;1.75;73.99;24.159999999999997;Peso normal
21;1.729;69.59;23.27859957764679;Peso normal
21;1.751;73.99;24.132412220348268;Peso normal
21;1.752;71.891;23.421047830528973;Peso normal
21;1.728;71.689;24.008501050240053;Peso normal
21;1.75;110.0;35.91836734693877;Obesidade Classe 2
21;1.71;110.0;37.61841250299238;Obesidade Classe 2
21;1.73;130.0;43.43613217949146;Obesidade Classe 3
21;1.85;180.0;52.59313367421475;Obesidade Classe 3
21;1.68;52.0;18.42403628117914;Abaixo do peso
21;1.73;70.0;23.38868655818771;Peso normal
21;1.75;71.0;23.183673469387756;Peso normal
21;1.73;69.0;23.054562464499313;Peso normal
21;1.72;68.0;22.985397512168742;Peso normal
21;1.71;67.0;22.91303307000445;Peso normal
21;1.7209999999999999;70.5;23.802763213825457;Peso normal
21;1.715;69.3;23.561611233414645;Peso normal
21;1.75;57.3;18.710204081632654;Peso normal
21;1.7;43.4;15.017301038062286;Abaixo do peso
21;1.55;37.6;15.650364203954213;Abaixo do peso
21;1.69;73.5;25.73439305346452;Sobrepeso
20;1.73;71.78;23.983427444953055;Peso normal
20;1.72;69.68;23.553272038939973;Peso normal
20;1.74;73.88;24.40216673272559;Peso normal
20;1.719;69.68;23.580683467565223;Peso normal
20;1.741;73.88;24.374142426414863;Peso normal
20;1.742;71.881;23.68742264127565;Peso normal
20;1.718;71.679;24.285420006749057;Peso normal
20;1.72;105.0;35.49215792320173;Obesidade Classe 2
20;1.65;105.0;38.567493112947666;Obesidade Classe 2
20;1.78;125.0;39.4520893826537;Obesidade Classe 2
20;1.82;170.0;51.322304069556814;Obesidade Classe 3
20;1.66;50.0;18.144868631151112;Abaixo do peso
20;1.72;68.0;22.985397512168742;Peso normal
20;1.73;69.0;23.054562464499313;Peso normal
20;1.72;67.0;22.647376960519203;Peso normal
20;1.7;66.0;22.837370242214536;Peso normal
20;1.69;65.0;22.758306781975424;Peso normal
20;1.705;68.9;23.7012065599711;Peso normal
20;1.6969999999999998;66.8;23.195982789136366;Peso normal
20;1.61;44.6;17.206126306855445;Abaixo do peso
20;1.57;41.1;16.67410442614305;Abaixo do peso
20;1.56;39.4;16.190006574621957;Abaixo do peso
20;1.54;34.9;14.715803676842638;Abaixo do peso
20;1.51;31.7;13.902898995658084;Abaixo do peso
20;1.49;29.4;13.242646727624882;Abaixo do peso
20;1.47;27.6;12.772455921143969;Abaixo do peso
20;1.46;25.9;12.15049727903922;Abaixo do peso
20;1.68;72.9;25.829081632653068;Sobrepeso
19;1.751;70.0;22.83104278178644;Peso normal
19;1.741;68.0;22.434240457447356;Peso normal
19;1.761;72.0;23.217410736311162;Peso normal
19;1.74;68.0;22.460034350640772;Peso normal
19;1.762;72.0;23.19106474043401;Peso normal
19;1.763;70.101;22.553792924387317;Peso normal
19;1.739;69.899;23.11382381855752;Peso normal
19;1.68;98.0;34.72222222222223;Obesidade Classe 1
19;1.69;98.0;34.31252407128602;Obesidade Classe 1
19;1.75;120.0;39.183673469387756;Obesidade Classe 2
19;1.8;160.0;49.382716049382715;Obesidade Classe 3
19;1.64;48.0;17.846519928613922;Abaixo do peso
19;1.71;66.0;22.571047501795427;Peso normal
19;1.72;67.0;22.647376960519203;Peso normal
19;1.7;65.0;22.49134948096886;Peso normal
19;1.69;64.0;22.40817898532965;Peso normal
19;1.68;63.0;22.321428571428577;Peso normal
19;1.673;65.4;23.36608038288931;Peso normal
19;1.661;64.2;23.26996677324215;Peso normal
19;1.58;41.5;16.623938471398812;Abaixo do peso
19;1.6;42.3;16.523437499999996;Abaixo do peso
19;1.59;41.2;16.296823701594082;Abaixo do peso
19;1.58;37.0;14.821342733536289;Abaixo do peso
19;1.53;33.6;14.353453799820583;Abaixo do peso
19;1.5;30.8;13.68888888888889;Abaixo do peso
19;1.48;28.7;13.10262965668371;Abaixo do peso
19;1.47;26.9;12.448516821694664;Abaixo do peso
19;1.69;74.4;26.049508070445718;Sobrepeso
18;1.75;69.2;22.59591836734694;Peso normal
18;1.74;67.3;22.22882811467829;Peso normal
18;1.76;71.1;22.953254132231404;Peso normal
18;1.739;67.3;22.254400534899226;Peso normal
18;1.761;71.1;22.92719310210727;Peso normal
18;1.762;69.301;22.32172191078913;Peso normal
18;1.738;69.099;22.875585471177672;Peso normal
18;1.59;69.32;27.419801431905377;Sobrepeso
18;1.7;100.0;34.602076124567475;Obesidade Classe 1
18;1.67;100.0;35.8564308508731;Obesidade Classe 2
18;1.72;115.0;38.87236343969714;Obesidade Classe 2
18;1.78;150.0;47.342507259184444;Obesidade Classe 3
18;1.62;46.0;17.527815881725342;Abaixo do peso
18;1.7;64.0;22.145328719723185;Peso normal
18;1.71;65.0;22.229061933586404;Peso normal
18;1.69;63.0;22.058051188683873;Peso normal
18;1.68;62.0;21.9671201814059;Peso normal
18;1.67;61.0;21.872422819032593;Peso normal
18;1.69;63.8;22.338153426000492;Peso normal
18;1.6840000000000002;61.7;21.75709909106809;Peso normal
18;1.62;43.9;16.727632982777013;Abaixo do peso
18;1.55;40.0;16.649323621227886;Abaixo do peso
18;1.61;41.7;16.087342309324484;Abaixo do peso
18;1.57;36.3;14.72676376323583;Abaixo do peso
18;1.52;32.9;14.239958448753463;Abaixo do peso
18;1.5;30.3;13.466666666666667;Abaixo do peso
18;1.48;28.3;12.920014609203799;Abaixo do peso
18;1.46;26.6;12.478889097391633;Abaixo do peso
